 
****************************************
Report : power
        -cell
        -analysis_effort low
        -sort_mode cell_internal_power
Design : SIPISOALU_generic_nbit32
Version: Z-2007.03-SP1
Date   : Thu Apr 28 12:13:42 2016
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /home/mariagrazia.graziano/do/libnangate/NangateOpenCellLibrary_typical_ecsm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
SIPISOALU_generic_nbit32
                       5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      h  -  Hierarchical cell

                        Cell      Driven Net  Tot Dynamic      Cell
                        Internal  Switching   Power            Leakage
Cell                    Power     Power       (% Cell/Tot)     Power      Attrs
--------------------------------------------------------------------------------
U817                       0.3739    0.3131      0.687 (54%)      6.2226   
U811                       0.3734    0.3126      0.686 (54%)      6.2226   
U798                       0.3726    0.3125      0.685 (54%)      6.2226   
U806                       0.3724    0.3123      0.685 (54%)      6.2226   
U807                       0.3722    0.3101      0.682 (55%)      6.2226   
U799                       0.3714    0.3110      0.682 (54%)      6.2226   
U784                       0.3696    0.3099      0.679 (54%)      6.2226   
U781                       0.3692    0.3073      0.677 (55%)      6.2226   
U780                       0.3689    0.3073      0.676 (55%)      6.2226   
U820                       0.3673    0.3075      0.675 (54%)      6.2226   
U795                       0.3630    0.1296      0.493 (74%)     46.7413   
U752                       0.3569    0.3146      0.671 (53%)     14.7238   
U794                       0.2049    0.0733      0.278 (74%)     47.3778   
U793                       0.1230    0.0442      0.167 (74%)     47.7404   
U792                       0.0688    0.0245   9.33e-02 (74%)     47.9513   
U789                       0.0424    0.0153   5.78e-02 (73%)     48.0980   
U788                       0.0243 8.863e-03   3.31e-02 (73%)     48.1799   
U762                       0.0116 4.158e-03   1.57e-02 (74%)     48.2147   
U791                    9.233e-03 3.283e-03   1.25e-02 (74%)     48.2216   
U790                    5.918e-03 2.079e-03   8.00e-03 (74%)     48.2268   
U785                    4.409e-03 1.532e-03   5.94e-03 (74%)     48.2306   
U624                    4.211e-03 1.062e-03   5.27e-03 (80%)     64.4685   
U626                    4.194e-03 1.062e-03   5.26e-03 (80%)     64.4685   
U786                    3.791e-03 1.313e-03   5.10e-03 (74%)     48.2333   
U787                    3.469e-03 1.204e-03   4.67e-03 (74%)     48.2355   
U944                    3.004e-03 1.458e-03   4.46e-03 (67%)     13.5863   
U717                    2.994e-03 1.458e-03   4.45e-03 (67%)     13.5863   
U727                    2.994e-03 1.458e-03   4.45e-03 (67%)     13.5863   
U889                    2.994e-03 1.458e-03   4.45e-03 (67%)     13.5863   
U895                    2.994e-03 1.458e-03   4.45e-03 (67%)     13.5863   
U912                    2.994e-03 1.458e-03   4.45e-03 (67%)     13.5863   
U918                    2.994e-03 1.458e-03   4.45e-03 (67%)     13.5863   
U957                    2.994e-03 1.458e-03   4.45e-03 (67%)     13.5863   
U961                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5860   
U909                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5863   
U921                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5863   
U941                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5863   
U947                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5863   
U903                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
U930                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
U897                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
U906                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
U915                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
U924                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
U927                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
U933                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
U936                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
U939                    2.993e-03 1.458e-03   4.45e-03 (67%)     13.5942   
